"Date","Price","Open","High","Low","Vol.","Change %"
"02/06/2019","7.3094","7.2883","7.3440","7.2576","9.68M","0.07%"
"02/07/2019","7.1405","7.2768","7.2989","7.1395","12.61M","-2.31%"
"02/08/2019","7.0147","7.1030","7.1213","6.9466","17.41M","-1.76%"
"02/11/2019","7.0550","7.0416","7.1174","7.0272","10.03M","0.57%"
"02/12/2019","7.0579","7.1299","7.1424","7.0397","10.89M","0.04%"
"02/13/2019","7.0714","7.0522","7.0838","7.0080","8.57M","0.19%"
"02/14/2019","7.0224","7.1203","7.1270","7.0128","10.51M","-0.69%"
"02/15/2019","7.2000","7.0291","7.2115","7.0109","15.04M","2.53%"
"02/18/2019","7.2595","7.2154","7.2931","7.2038","9.05M","0.83%"
"02/19/2019","7.2960","7.2749","7.3296","7.2221","13.17M","0.50%"
"02/20/2019","7.3728","7.2893","7.3757","7.2720","11.55M","1.05%"
"02/21/2019","7.4621","7.4688","7.5168","7.4016","30.29M","1.21%"
"02/22/2019","7.4573","7.4842","7.5245","7.3786","15.75M","-0.06%"
"02/25/2019","7.3968","7.4592","7.5149","7.3968","14.97M","-0.81%"
"02/26/2019","7.2960","7.3670","7.3680","7.2403","12.83M","-1.36%"
"02/27/2019","7.2365","7.2883","7.2960","7.2106","12.63M","-0.82%"
"02/28/2019","7.2854","7.1904","7.2912","7.1722","14.86M","0.68%"
"03/01/2019","7.1798","7.2979","7.3123","7.1798","17.07M","-1.45%"
"03/04/2019","7.1270","7.2202","7.2365","7.1136","10.26M","-0.74%"
"03/05/2019","7.1904","7.1318","7.2538","7.1309","12.58M","0.89%"
"03/06/2019","7.2259","7.1866","7.2480","7.1837","15.63M","0.49%"
"03/07/2019","7.2538","7.2480","7.3699","7.2374","18.64M","0.39%"
"03/08/2019","7.2730","7.2240","7.3123","7.2134","12.88M","0.26%"
"03/11/2019","7.3306","7.3142","7.3363","7.2691","9.12M","0.79%"
"03/12/2019","7.2672","7.3152","7.3344","7.2288","11.98M","-0.86%"
"03/13/2019","7.2902","7.2672","7.3142","7.2480","10.98M","0.32%"
"03/14/2019","7.3046","7.2960","7.4006","7.2787","15.50M","0.20%"
"03/15/2019","7.4986","7.3085","7.5120","7.2989","38.75M","2.65%"
"03/18/2019","7.5120","7.5024","7.5600","7.4851","11.80M","0.18%"
"03/19/2019","7.5197","7.5360","7.5840","7.4976","11.18M","0.10%"
"03/20/2019","7.4141","7.5024","7.5552","7.4141","10.79M","-1.40%"
"03/21/2019","7.4275","7.4179","7.4707","7.3930","11.59M","0.18%"
"03/22/2019","7.2960","7.4582","7.4736","7.2960","16.68M","-1.77%"
"03/25/2019","7.2422","7.2874","7.3373","7.2298","14.54M","-0.74%"
"03/26/2019","7.2710","7.2557","7.2912","7.1952","9.28M","0.40%"
"03/27/2019","7.2864","7.3027","7.3334","7.2182","11.18M","0.21%"
"03/28/2019","7.0963","7.2864","7.3056","7.0963","14.44M","-2.61%"
"03/29/2019","7.1702","7.1146","7.1702","7.0368","13.46M","1.04%"
"04/01/2019","7.2106","7.1789","7.2288","7.1376","11.59M","0.56%"
"04/02/2019","7.1856","7.1894","7.2192","7.1232","14.16M","-0.35%"
"04/03/2019","7.2509","7.2518","7.2624","7.1914","16.18M","0.91%"
"04/04/2019","7.3152","7.2538","7.3296","7.2326","15.46M","0.89%"
"04/05/2019","7.2077","7.3344","7.3440","7.1722","14.68M","-1.47%"
"04/08/2019","7.1232","7.1904","7.2019","7.0944","18.85M","-1.17%"
"04/09/2019","7.0925","7.1242","7.1578","7.0867","13.22M","-0.43%"
"04/10/2019","7.0982","7.0886","7.1395","7.0810","9.72M","0.08%"
"04/11/2019","7.1386","7.1232","7.1395","7.0685","9.56M","0.57%"
"04/12/2019","7.1347","7.1328","7.2019","7.0915","16.71M","-0.05%"
"04/15/2019","7.1683","7.1520","7.1962","7.1462","10.87M","0.47%"
"04/16/2019","7.1078","7.1520","7.1894","7.1078","9.90M","-0.84%"
"04/17/2019","7.2000","7.1424","7.2288","7.0954","11.08M","1.30%"
"04/18/2019","7.2077","7.1856","7.2346","7.1443","11.22M","0.11%"
"04/23/2019","7.1347","7.1971","7.2077","7.1184","9.38M","-1.01%"
"04/24/2019","7.0493","7.1040","7.1270","7.0176","12.25M","-1.20%"
"04/25/2019","7.0886","7.0320","7.0925","7.0090","11.64M","0.56%"
"04/26/2019","7.1645","7.1040","7.1866","7.0570","13.68M","1.07%"
"04/29/2019","7.2096","7.1520","7.2096","7.1146","7.22M","0.63%"
"04/30/2019","7.1347","7.1261","7.1434","7.0474","14.67M","-1.04%"
"05/02/2019","7.0282","7.0848","7.1539","7.0051","14.71M","-1.49%"
"05/03/2019","7.0013","7.0378","7.0589","6.9696","18.80M","-0.38%"
"05/06/2019","6.5211","6.4683","6.5345","6.4513","9.38M","-6.86%"
"05/07/2019","6.4611","6.5435","6.5739","6.4334","15.74M","-0.92%"
"05/08/2019","6.4244","6.4602","6.5050","6.4101","21.45M","-0.57%"
"05/09/2019","6.3699","6.3976","6.4218","6.3466","27.64M","-0.85%"
"05/10/2019","6.3591","6.3958","6.4683","6.2634","18.05M","-0.17%"
"05/13/2019","6.2849","6.3708","6.3708","6.2410","16.82M","-1.17%"
"05/14/2019","6.3627","6.3171","6.3726","6.2965","15.37M","1.24%"
"05/15/2019","6.3976","6.3797","6.4048","6.3010","16.07M","0.55%"
"05/16/2019","6.4576","6.3976","6.4620","6.3708","14.83M","0.94%"
